Location,StartDate,StartTime,EndDate,EndTime,Title,Category,Description
1,2017-01-02,0:00:00,2017-01-02,23:59:00,Nghỉ bù,Compensation Day-Off,Description2
1,2017-01-26,0:00:00,2017-01-26,23:59:00,Nghỉ bù,Compensation Day-Off,Description9
1,2017-02-01,0:00:00,2017-02-01,23:59:00,Nghỉ bù,Compensation Day-Off,Description11
1,2017-04-07,0:00:00,2017-04-07,23:59:00,Nghỉ bù,Compensation Day-Off,Description32
1,2017-05-02,0:00:00,2017-05-02,23:59:00,Nghỉ bù,Compensation Day-Off,Description41
1,2017-09-04,0:00:00,2017-09-04,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
1,2016-12-30,0:00:00,2017-01-01,23:59:00,Nghỉ lễ,Holiday,Description1
1,2017-01-27,0:00:00,2017-01-29,23:59:00,Nghỉ lễ,Holiday,Description10
1,2017-04-06,0:00:00,2017-04-06,23:59:00,Nghỉ lễ,Holiday,Description31
1,2017-04-30,0:00:00,2017-05-01,23:59:00,Nghỉ lễ,Holiday,Description40
1,2017-09-02,0:00:00,2017-09-02,23:59:00,Nghỉ lễ,Holiday,Description78
1,2017-01-08,0:00:00,2017-01-08,23:59:00,Nghỉ cuối tuần,Weekend,Description3
1,2017-01-14,0:00:00,2017-01-15,23:59:00,Nghỉ cuối tuần,Weekend,Description5
1,2017-01-22,0:00:00,2017-01-22,23:59:00,Nghỉ cuối tuần,Weekend,Description7
1,2017-02-05,0:00:00,2017-02-05,23:59:00,Nghỉ cuối tuần,Weekend,Description13
1,2017-02-11,0:00:00,2017-02-12,23:59:00,Nghỉ cuối tuần,Weekend,Description15
1,2017-02-18,0:00:00,2017-02-19,23:59:00,Nghỉ cuối tuần,Weekend,Description17
1,2017-02-26,0:00:00,2017-02-26,23:59:00,Nghỉ cuối tuần,Weekend,Description19
1,2017-03-04,0:00:00,2017-03-05,23:59:00,Nghỉ cuối tuần,Weekend,Description21
1,2017-03-12,0:00:00,2017-03-12,23:59:00,Nghỉ cuối tuần,Weekend,Description23
1,2017-03-18,0:00:00,2017-03-19,23:59:00,Nghỉ cuối tuần,Weekend,Description25
1,2017-03-26,0:00:00,2017-03-26,23:59:00,Nghỉ cuối tuần,Weekend,Description27
1,2017-04-02,0:00:00,2017-04-02,23:59:00,Nghỉ cuối tuần,Weekend,Description29
1,2017-04-08,0:00:00,2017-04-09,23:59:00,Nghỉ cuối tuần,Weekend,Description33
1,2017-04-16,0:00:00,2017-04-16,23:59:00,Nghỉ cuối tuần,Weekend,Description35
1,2017-04-23,0:00:00,2017-04-23,23:59:00,Nghỉ cuối tuần,Weekend,Description37
1,2017-04-29,0:00:00,2017-04-29,23:59:00,Nghỉ cuối tuần,Weekend,Description39
1,2017-05-06,0:00:00,2017-05-07,23:59:00,Nghỉ cuối tuần,Weekend,Description43
1,2017-05-14,0:00:00,2017-05-14,23:59:00,Nghỉ cuối tuần,Weekend,Description45
1,2017-05-20,0:00:00,2017-05-20,23:59:00,Nghỉ cuối tuần,Weekend,Description47
1,2017-05-21,0:00:00,2017-05-21,23:59:00,Nghỉ cuối tuần,Weekend,Description47
1,2017-05-28,0:00:00,2017-05-28,23:59:00,Nghỉ cuối tuần,Weekend,Description49
1,2017-06-03,0:00:00,2017-06-04,23:59:00,Nghỉ cuối tuần,Weekend,Description51
1,2017-06-11,0:00:00,2017-06-11,23:59:00,Nghỉ cuối tuần,Weekend,Description53
1,2017-06-17,0:00:00,2017-06-18,23:59:00,Nghỉ cuối tuần,Weekend,Description55
1,2017-06-24,0:00:00,2017-06-25,23:59:00,Nghỉ cuối tuần,Weekend,Description57
1,2017-07-01,0:00:00,2017-07-02,23:59:00,Nghỉ cuối tuần,Weekend,Description59
1,2017-07-08,0:00:00,2017-07-09,23:59:00,Nghỉ cuối tuần,Weekend,Description61
1,2017-07-16,0:00:00,2017-07-16,23:59:00,Nghỉ cuối tuần,Weekend,Description63
1,2017-07-22,0:00:00,2017-07-23,23:59:00,Nghỉ cuối tuần,Weekend,Description65
1,2017-07-30,0:00:00,2017-07-30,23:59:00,Nghỉ cuối tuần,Weekend,Description67
1,2017-08-05,0:00:00,2017-08-06,23:59:00,Nghỉ cuối tuần,Weekend,Description70
1,2017-08-13,0:00:00,2017-08-13,23:59:00,Nghỉ cuối tuần,Weekend,Description72
1,2017-08-19,0:00:00,2017-08-20,23:59:00,Nghỉ cuối tuần,Weekend,Description74
1,2017-08-27,0:00:00,2017-08-27,23:59:00,Nghỉ cuối tuần,Weekend,Description76
1,2017-09-03,0:00:00,2017-09-03,23:59:00,Nghỉ cuối tuần,Weekend,Description79
1,2017-09-10,0:00:00,2017-09-10,23:59:00,Nghỉ cuối tuần,Weekend,Description82
1,2017-09-16,0:00:00,2017-09-17,23:59:00,Nghỉ cuối tuần,Weekend,Description84
1,2017-09-23,0:00:00,2017-09-24,23:59:00,Nghỉ cuối tuần,Weekend,Description86
1,2017-10-01,0:00:00,2017-10-01,23:59:00,Nghỉ cuối tuần,Weekend,Description88
1,2017-10-07,0:00:00,2017-10-08,23:59:00,Nghỉ cuối tuần,Weekend,Description90
1,2017-10-15,0:00:00,2017-10-15,23:59:00,Nghỉ cuối tuần,Weekend,Description92
1,2017-10-21,0:00:00,2017-10-22,23:59:00,Nghỉ cuối tuần,Weekend,Description94
1,2017-10-29,0:00:00,2017-10-29,23:59:00,Nghỉ cuối tuần,Weekend,Description96
1,2017-11-04,0:00:00,2017-11-05,23:59:00,Nghỉ cuối tuần,Weekend,Description99
1,2017-11-12,0:00:00,2017-11-12,23:59:00,Nghỉ cuối tuần,Weekend,Description101
1,2017-11-18,0:00:00,2017-11-19,23:59:00,Nghỉ cuối tuần,Weekend,Description103
1,2017-11-26,0:00:00,2017-11-26,23:59:00,Nghỉ cuối tuần,Weekend,Description105
1,2017-12-02,0:00:00,2017-12-03,23:59:00,Nghỉ cuối tuần,Weekend,Description107
1,2017-12-10,0:00:00,2017-12-10,23:59:00,Nghỉ cuối tuần,Weekend,Description109
1,2017-12-16,0:00:00,2017-12-17,23:59:00,Nghỉ cuối tuần,Weekend,Description111
1,2017-12-24,0:00:00,2017-12-24,23:59:00,Nghỉ cuối tuần,Weekend,Description113
1,2017-12-30,0:00:00,2017-12-31,23:59:00,Nghỉ cuối tuần,Weekend,Description115
2,2017-01-02,0:00:00,2017-01-02,23:59:00,Nghỉ bù,Compensation Day-Off,Description2
2,2017-01-26,0:00:00,2017-01-26,23:59:00,Nghỉ bù,Compensation Day-Off,Description9
2,2017-02-01,0:00:00,2017-02-01,23:59:00,Nghỉ bù,Compensation Day-Off,Description11
2,2017-04-07,0:00:00,2017-04-07,23:59:00,Nghỉ bù,Compensation Day-Off,Description32
2,2017-05-02,0:00:00,2017-05-02,23:59:00,Nghỉ bù,Compensation Day-Off,Description41
2,2017-09-04,0:00:00,2017-09-04,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
2,2016-12-30,0:00:00,2017-01-01,23:59:00,Nghỉ lễ,Holiday,Description1
2,2017-01-27,0:00:00,2017-01-29,23:59:00,Nghỉ lễ,Holiday,Description10
2,2017-04-06,0:00:00,2017-04-06,23:59:00,Nghỉ lễ,Holiday,Description31
2,2017-04-30,0:00:00,2017-05-01,23:59:00,Nghỉ lễ,Holiday,Description40
2,2017-09-02,0:00:00,2017-09-02,23:59:00,Nghỉ lễ,Holiday,Description78
2,2017-01-08,0:00:00,2017-01-08,23:59:00,Nghỉ cuối tuần,Weekend,Description3
2,2017-01-14,0:00:00,2017-01-15,23:59:00,Nghỉ cuối tuần,Weekend,Description5
2,2017-01-22,0:00:00,2017-01-22,23:59:00,Nghỉ cuối tuần,Weekend,Description7
2,2017-02-05,0:00:00,2017-02-05,23:59:00,Nghỉ cuối tuần,Weekend,Description13
2,2017-02-11,0:00:00,2017-02-12,23:59:00,Nghỉ cuối tuần,Weekend,Description15
2,2017-02-18,0:00:00,2017-02-19,23:59:00,Nghỉ cuối tuần,Weekend,Description17
2,2017-02-26,0:00:00,2017-02-26,23:59:00,Nghỉ cuối tuần,Weekend,Description19
2,2017-03-04,0:00:00,2017-03-05,23:59:00,Nghỉ cuối tuần,Weekend,Description21
2,2017-03-12,0:00:00,2017-03-12,23:59:00,Nghỉ cuối tuần,Weekend,Description23
