Pagename,Groups,CommonName,CommonName1066,IsOnLeftMenu,Category,Order
/_layouts/15/RBVH.Stada.Intranet.WebPages/ShiftManagement/ShiftManagementAdmin.aspx,Accounting Administrators;HR & Administration Administrators;Analytical Development Administrators;Engineering Administrators;Formulation Development Administrators;Import & Export Administrators;IT Administrators;Liquid Workshop Administrators;Planning Administrators;Procurement Administrators;Quality Assurance Administrators;Quality Control Administrators;Regulatory Affairs Administrators;Research & Development Administrators;Solid Workshop Administrators;Technology Transfer Administrators;Warehouse Administrators;HM Administrators;Assistant Administrators,Shift Management,Quản Lý Đi Ca,True,Timesheet,1
/_layouts/15/RBVH.Stada.Intranet.WebPages/ShiftManagement/ShiftManagementBOD.aspx,BOD,Shift Management,Quản Lý Đi Ca,True,Timesheet,1
/_layouts/15/RBVH.Stada.Intranet.WebPages/ShiftManagement/ShiftManagementManager.aspx,Accounting Contributors;HR & Administration Contributors;Analytical Development Contributors;Engineering Contributors;Formulation Development Contributors;Import & Export Contributors;IT Contributors;Liquid Workshop Contributors;Planning Contributors;Procurement Contributors;Quality Assurance Contributors;Quality Control Contributors;Regulatory Affairs Contributors;Research & Development Contributors;Solid Workshop Contributors;Technology Transfer Contributors;Warehouse Contributors;HM Contributors;Assistant Contributors,Shift Management,Quản Lý Đi Ca,True,Timesheet,1
/_layouts/15/RBVH.Stada.Intranet.WebPages/ShiftManagement/ShiftManagementMember.aspx,Accounting Members;HR & Administration Members;Analytical Development Members;Engineering Members;Formulation Development Members;Import & Export Members;IT Members;Liquid Workshop Members;Planning Members;Procurement Members;Quality Assurance Members;Quality Control Members;Regulatory Affairs Members;Research & Development Members;Solid Workshop Members;Technology Transfer Members;Warehouse Members;HM Members;Assistant Members,Shift Management,Quản Lý Đi Ca,True,Timesheet,1
/_layouts/15/RBVH.Stada.Intranet.WebPages/ChangeShiftManagement/ChangeShiftManagementAdmin.aspx,Accounting Administrators;HR & Administration Administrators;Analytical Development Administrators;Engineering Administrators;Formulation Development Administrators;Import & Export Administrators;IT Administrators;Liquid Workshop Administrators;Planning Administrators;Procurement Administrators;Quality Assurance Administrators;Quality Control Administrators;Regulatory Affairs Administrators;Research & Development Administrators;Solid Workshop Administrators;Technology Transfer Administrators;Warehouse Administrators;HM Administrators;Assistant Administrators,Change Shift Management,Quản Lý Đổi Ca,True,Timesheet,2
/_layouts/15/RBVH.Stada.Intranet.WebPages/ChangeShiftManagement/ChangeShiftManagementBOD.aspx,BOD,Change Shift Management,Quản Lý Đổi Ca,True,Timesheet,2
/_layouts/15/RBVH.Stada.Intranet.WebPages/ChangeShiftManagement/ChangeShiftManagementManager.aspx,Accounting Contributors;HR & Administration Contributors;Analytical Development Contributors;Engineering Contributors;Formulation Development Contributors;Import & Export Contributors;IT Contributors;Liquid Workshop Contributors;Planning Contributors;Procurement Contributors;Quality Assurance Contributors;Quality Control Contributors;Regulatory Affairs Contributors;Research & Development Contributors;Solid Workshop Contributors;Technology Transfer Contributors;Warehouse Contributors;HM Contributors;Assistant Contributors,Change Shift Management,Quản Lý Đổi Ca,True,Timesheet,2
/_layouts/15/RBVH.Stada.Intranet.WebPages/ChangeShiftManagement/ChangeShiftManagementMember.aspx,Accounting Members;HR & Administration Members;Analytical Development Members;Engineering Members;Formulation Development Members;Import & Export Members;IT Members;Liquid Workshop Members;Planning Members;Procurement Members;Quality Assurance Members;Quality Control Members;Regulatory Affairs Members;Research & Development Members;Solid Workshop Members;Technology Transfer Members;Warehouse Members;HM Members;Assistant Members,Change Shift Management,Quản Lý Đổi Ca,True,Timesheet,2
/_layouts/15/RBVH.Stada.Intranet.WebPages/OvertimeManagement/OvertimeManagementAdmin.aspx,Accounting Administrators;HR & Administration Administrators;Analytical Development Administrators;Engineering Administrators;Formulation Development Administrators;Import & Export Administrators;IT Administrators;Liquid Workshop Administrators;Planning Administrators;Procurement Administrators;Quality Assurance Administrators;Quality Control Administrators;Regulatory Affairs Administrators;Research & Development Administrators;Solid Workshop Administrators;Technology Transfer Administrators;Warehouse Administrators;HM Administrators;Assistant Administrators,Overtime Management,Quản Lý Tăng Ca,True,Timesheet,3
/_layouts/15/RBVH.Stada.Intranet.WebPages/OvertimeManagement/OvertimeManagementBOD.aspx,BOD,Overtime Management,Quản Lý Tăng Ca,True,Timesheet,3
