Name,Code,WorkingHourFrom,WorkingHourTo,BreakingHourFrom,BreakingHourTo,WorkingHourNumber,BreakingHourNumber,UnexpectedLeaveFirstApprovalRole,ShiftRequired,WorkingHourMid
Hành Chánh,HC,1/1/2017 7:15 AM,1/1/2017 4:00 PM,1/1/2017 12:00 PM,1/1/2017 12:45 PM,8,0.75,2,True,
Hành Chánh QL Kho,HCK,1/1/2017 7:15 AM,1/1/2017 4:10 PM,1/1/2017 11:30 AM,1/1/2017 12:15 PM,8,0.75,2,False,
Ca 1,C1,1/1/2017 6:00 AM,1/1/2017 2:00 PM,1/1/2017 0:00 AM,1/1/2017 0:00 AM,8,0,2,True,
Ca 2,C2,1/1/2017 2:00 PM,1/1/2017 10:00 PM,1/1/2017 0:00 AM,1/1/2017 0:00 AM,8,0,12,True,
Ca 3,C3,1/1/2017 10:00 PM,1/2/2017 6:00 AM,1/1/2017 0:00 AM,1/1/2017 0:00 AM,8,0,12,True,
Ca 4,C4,1/1/2017 1:00 PM,1/1/2017 9:00 PM,1/1/2017 0:00 AM,1/1/2017 0:00 AM,8,0,2,True,
Cây Xanh,CX,1/1/2017 6:00 AM,1/1/2017 4:00 PM,1/1/2017 11:30 AM,1/1/2017 1:30 PM,8,2,2,False,
Bảo Vệ,BV,1/1/2017 6:00 AM,1/2/2017 6:30 AM,1/1/2017 12:00 PM,1/1/2017 13:00 PM,16,1,2,False,1/1/2017 6:00 PM
Tạp Vụ,TV,1/1/2017 6:00 AM,1/1/2017 3:00 PM,1/1/2017 11:30 AM,1/1/2017 12:30 PM,8,1,2,False,
Ca Nghỉ Phép,P,1/1/2017 7:15 AM,1/1/2017 4:00 PM,1/1/2017 12:00 PM,1/1/2017 12:45 PM,8,0.75,,False,
